         Reward       Distance
        18.2350         0.0968
       101.4250         0.4543
        18.2350         0.0968
        47.3100         0.2227
        54.5200         0.2610
        57.2350         0.2667
        17.9550         0.0965
        53.2650         0.2680
        13.3800         0.0898
       107.2150         0.4821
        17.6350         0.0990
        16.2400         0.0984
        59.4900         0.2841
        16.2800         0.0990
        16.0000         0.0987
        15.4400         0.0981
         3.4800         0.1895
       109.8550         0.4537
        44.4500         0.2091
        15.7200         0.0984
        15.4400         0.0981
        80.4400         0.3559
        16.3400         0.0974
        16.0000         0.0987
        62.0550         0.2765
        17.6000         0.0968
        17.6350         0.0990
        17.3650         0.0987
       117.9100         0.4805
        16.3500         0.0993
        59.0300         0.2714
        17.6350         0.0990
        17.3650         0.0987
        85.4950         0.3920
        14.9550         0.0974
        14.9350         0.0974
        47.3700         0.2183
        18.5150         0.0971
        17.6350         0.0990
        50.8550         0.2284
        16.4850         0.0936
        17.6350         0.0990
        15.8800         0.0971
        16.0000         0.0987
        15.4400         0.0981
        55.4050         0.2676
        16.5300         0.0974
        80.2750         0.3568
        48.1950         0.2243
        19.7200         0.0936
       103.9600         0.4467
        15.7500         0.0823
        19.7200         0.0936
        47.1450         0.2284
        49.0300         0.2205
        98.0050         0.4492
        19.1250         0.0952
        49.2050         0.2284
        19.7200         0.0936
        83.9650         0.3568
        58.7450         0.2717
        15.2050         0.0911
        19.7200         0.0936
        18.9550         0.0962
        62.1950         0.2721
        50.7200         0.2142
        44.9650         0.2126
        48.4150         0.2284
        87.4100         0.3597
        18.6750         0.0959
        52.6700         0.2284
        18.5150         0.0971
        88.2050         0.3926
        17.0850         0.0984
        50.9050         0.2145
        15.1850         0.0993
       110.9450         0.4467
        15.1850         0.0993
        40.5300         0.2230
        47.5500         0.2177
        15.1850         0.0993
        60.1550         0.2841
       102.5650         0.4533
        15.1850         0.0993
       102.4450         0.4518
        15.1850         0.0993
        16.8550         0.0933
       107.4150         0.4470
        54.1950         0.2569
        15.1850         0.0993
        17.0550         0.0955
        15.1850         0.0993
        56.8800         0.2547
       105.0850         0.4533
        65.5550         0.2841
        15.1850         0.0993
        14.1700         0.0981
        45.5900         0.2240
        48.5450         0.2129
        16.3400         0.0974
        16.9800         0.0949
        46.1050         0.2284
        15.1850         0.0993
        61.7500         0.2683
        15.1850         0.0993
        99.1900         0.4533
        15.1850         0.0993
       105.4050         0.4527
        15.1850         0.0993
        14.9100         0.0933
        15.1850         0.0993
        58.8400         0.2616
        84.4600         0.3562
       106.6800         0.4464
        17.1200         0.0978
        47.3300         0.2284
        17.6350         0.0990
       102.8750         0.4533
        17.6350         0.0990
       105.6600         0.4537
        17.6350         0.0990
        14.7550         0.0968
        79.6450         0.3606
        18.2350         0.0968
        61.1250         0.2841
        91.7350         0.8545
        18.2350         0.0968
        15.8300         0.0940
        17.3650         0.0987
        76.3050         0.3568
        15.1850         0.0993
        15.4950         0.0864
        68.6600         0.2841
        63.2600         0.2841
        51.6750         0.2284
        15.1850         0.0993
       108.6450         0.4549
        90.7600         0.3568
        17.3000         0.0978
        56.8150         0.2518
        15.1850         0.0993
        15.5800         0.0974
        14.6250         0.0981
        51.2900         0.2151
        84.7400         0.3556
        42.7050         0.2284
        47.1050         0.2107
        15.4400         0.0974
       123.2350         0.4774
        70.7050         0.2841
        62.2850         0.2673
        19.5300         0.0917
        15.6350         0.0987
        55.6250         0.2597
        47.3050         0.2113
        90.2750         0.3565
        61.3450         0.2616
        77.7700         0.3638
        44.6200         0.2091
        90.5100         0.3594
        48.9250         0.2214
        14.2550         0.0981
        90.0200         0.3562
        15.0150         0.0978
        18.0500         0.0936
        58.5950         0.2642
        48.1850         0.2107
        46.1200         0.2132
        86.6550         0.3562
        63.5050         0.2556
        16.0050         0.0962
        14.0850         0.0905
        48.4450         0.2284
        46.9600         0.2173
        39.1500         0.2227
        20.1900         0.0943
