 Episode    Policy Loss     Value Loss   Total Reward     Total Loss Curiosity Loss     Time Delta                Time
     268         7.9112         2.3738          -1.20         9.0981         0.0000          3.782 2025-01-02T21:29:16
     269       149.1716        76.6353           6.40       187.4893         0.0000          3.845 2025-01-02T21:29:16
     270        12.4667         0.2236          -1.10        12.5785         0.0000          3.828 2025-01-02T21:29:17
     271        25.0045         1.0417          -1.10        25.5253         0.0000          3.850 2025-01-02T21:29:17
     272         5.3311        19.3234          -2.89        14.9928         0.0000          4.115 2025-01-02T21:29:18
     273        48.3422         6.1208           0.20        51.4026         0.0000          4.121 2025-01-02T21:29:19
     274       -12.2035         3.7720          -1.40       -10.3175         0.0000          4.240 2025-01-02T21:29:19
     275       -61.3949        87.9473          -2.91       -17.4213         0.0000          4.158 2025-01-02T21:29:19
     276       -17.6174         4.8544          -2.90       -15.1902         0.0000          4.351 2025-01-02T21:29:20
     277        -3.1113         2.9559          -1.10        -1.6334         0.0000          4.261 2025-01-02T21:29:20
     278        43.2203         7.4737           1.30        46.9571         0.0000          4.410 2025-01-02T21:29:20
     279        24.7473         5.0214           1.50        27.2580         0.0000          4.317 2025-01-02T21:29:21
     280       -36.9160         3.8174          -2.10       -35.0073         0.0000          4.387 2025-01-02T21:29:21
     281         8.5428         0.1014          -1.10         8.5935         0.0000          4.280 2025-01-02T21:29:21
     282       -29.5403        10.1709          -3.40       -24.4548         0.0000          4.360 2025-01-02T21:29:21
     284        33.1536        45.4503           1.92        55.8787         0.0000          2.228 2025-01-02T21:29:21
     283        19.1488         0.6113          -1.10        19.4544         0.0000          4.093 2025-01-02T21:29:21
     285       -66.9332        32.8702          -2.89       -50.4981         0.0000          3.810 2025-01-02T21:29:22
     286       -15.8916         1.2268          -0.80       -15.2782         0.0000          3.709 2025-01-02T21:29:23
     287        65.2861        35.8736           3.30        83.2229         0.0000          3.734 2025-01-02T21:29:23
     288       117.2085        98.4635           0.73       166.4403         0.0000          3.961 2025-01-02T21:29:24
     289        -8.2602         3.6850          -0.95        -6.4177         0.0000          4.009 2025-01-02T21:29:24
     290        33.2299         2.0954          -0.50        34.2776         0.0000          3.899 2025-01-02T21:29:24
     291       157.9177       126.6179          11.30       221.2266         0.0000          3.904 2025-01-02T21:29:24
     292       -10.6287         3.6884          -0.20        -8.7845         0.0000          3.991 2025-01-02T21:29:25
     293         4.0064         0.0165          -1.10         4.0147         0.0000          4.007 2025-01-02T21:29:25
     294         5.3475        26.2396          -1.39        18.4673         0.0000          4.013 2025-01-02T21:29:25
     295        12.4781         0.2469          -1.10        12.6015         0.0000          3.966 2025-01-02T21:29:25
     296       527.5130       508.2403          24.67       781.6331         0.0000          3.995 2025-01-02T21:29:25
     297        96.8114        39.4905           2.60       116.5567         0.0000          4.119 2025-01-02T21:29:26
     298       -23.9266         1.4901          -1.10       -23.1816         0.0000          3.955 2025-01-02T21:29:27
     299        10.2088         1.8115          -0.70        11.1145         0.0000          3.996 2025-01-02T21:29:27
     301       -22.7800         0.9839          -1.10       -22.2881         0.0000          3.705 2025-01-02T21:29:28
     302       269.1594       252.0718          15.81       395.1953         0.0000          3.839 2025-01-02T21:29:28
     303       157.7115        63.2391           8.60       189.3311         0.0000          3.854 2025-01-02T21:29:28
     304       -55.4797         6.3571          -2.10       -52.3012         0.0000          3.809 2025-01-02T21:29:28
