 Episode    Policy Loss     Value Loss   Total Reward     Total Loss Curiosity Loss     Time Delta                Time
      70       437.5779       482.4305          23.52       678.7931         0.0000          7.234 2025-01-02T21:28:02
      71         8.3471         0.7578          -0.50         8.7260         0.0000          7.194 2025-01-02T21:28:02
      72       -66.0125        59.4717          -3.47       -36.2767         0.0000          7.194 2025-01-02T21:28:02
      73       687.5375       815.9195          32.85      1095.4972         0.0000          7.373 2025-01-02T21:28:03
      74      -102.8712        60.7859          -5.71       -72.4783         0.0000          1.307 2025-01-02T21:28:03
      75       301.5713       150.5160          12.60       376.8293         0.0000          4.179 2025-01-02T21:28:04
      76         9.9394        28.2422           2.50        24.0605         0.0000          4.201 2025-01-02T21:28:04
      77       245.2324       284.6914          12.41       387.5781         0.0000          2.856 2025-01-02T21:28:04
      78       -98.4166        73.4974          -3.16       -61.6679         0.0000          1.223 2025-01-02T21:28:05
      79       -48.9691        17.3567           2.00       -40.2908         0.0000          4.190 2025-01-02T21:28:05
      80       -60.7476         9.2474          -2.80       -56.1239         0.0000          4.335 2025-01-02T21:28:06
      81       -16.7127        12.1545          -1.20       -10.6355         0.0000          4.241 2025-01-02T21:28:06
      82         5.0089         6.1810           1.60         8.0994         0.0000          4.225 2025-01-02T21:28:06
      83       -14.1031        31.1489          -3.27         1.4714         0.0000          4.250 2025-01-02T21:28:06
      84        77.4508        12.7337          -0.60        83.8176         0.0000          4.398 2025-01-02T21:28:06
      85       249.0452       293.5719          15.19       395.8311         0.0000          2.404 2025-01-02T21:28:06
      86       316.5837       200.1283          13.30       416.6478         0.0000          4.460 2025-01-02T21:28:07
      87        59.8841       100.3355           8.82       110.0518         0.0000          4.111 2025-01-02T21:28:07
      88       -29.0927        41.3432           2.71        -8.4211         0.0000          4.120 2025-01-02T21:28:08
      89        -6.9238         3.7091           1.60        -5.0693         0.0000          4.011 2025-01-02T21:28:08
      90       242.6526       288.4527          15.19       386.8789         0.0000          2.485 2025-01-02T21:28:09
      91      -116.8686        22.1464          -2.60      -105.7954         0.0000          3.978 2025-01-02T21:28:09
      92       277.9318       132.8772          14.20       344.3704         0.0000          4.036 2025-01-02T21:28:10
      93       -76.7308        17.6978          -3.40       -67.8819         0.0000          3.886 2025-01-02T21:28:10
      94      -116.5722        34.5136          -3.89       -99.3154         0.0000          4.070 2025-01-02T21:28:10
      95       106.1310       150.7501           6.62       181.5060         0.0000          4.127 2025-01-02T21:28:10
      96       -80.7463        22.8738          -3.50       -69.3094         0.0000          4.067 2025-01-02T21:28:10
      97        59.1997        10.4927          -0.80        64.4461         0.0000          4.134 2025-01-02T21:28:10
      98       -40.3156         3.0257          -1.30       -38.8027         0.0000          4.003 2025-01-02T21:28:11
      99       -85.2607        13.1392          -1.10       -78.6911         0.0000          4.035 2025-01-02T21:28:11
     101       273.3977       246.5676          15.85       396.6815         0.0000          3.931 2025-01-02T21:28:12
     102       -98.3054        35.3294          -1.49       -80.6407         0.0000          3.916 2025-01-02T21:28:13
     103       533.4445       647.1654          28.20       857.0272         0.0000          4.066 2025-01-02T21:28:13
     100       184.9531        88.6216           8.80       229.2639         0.0000          3.896 2025-01-02T21:28:13
     104       -65.8394        12.1997          -1.30       -59.7395         0.0000          4.202 2025-01-02T21:28:14
     105       144.4597        78.9144           6.01       183.9169         0.0000          4.390 2025-01-02T21:28:14
     106       -58.4438        32.7828           0.51       -42.0524         0.0000          4.176 2025-01-02T21:28:14
     107        89.5158        50.8009           5.40       114.9162         0.0000          4.385 2025-01-02T21:28:14
     108        91.5545        16.2115           5.40        99.6603         0.0000          4.411 2025-01-02T21:28:15
     109        33.4033         9.2683           0.80        38.0375         0.0000          4.448 2025-01-02T21:28:15
     110       -30.5961        19.7598          -0.70       -20.7162         0.0000          4.326 2025-01-02T21:28:15
     111      -100.8484        18.6591          -1.10       -91.5189         0.0000          4.869 2025-01-02T21:28:16
     112        27.4788        13.7419           4.80        34.3497         0.0000          4.808 2025-01-02T21:28:16
     113       -98.6246        70.5319           3.10       -63.3587         0.0000          4.386 2025-01-02T21:28:17
     114       -59.3974         6.4400          -1.10       -56.1774         0.0000          4.345 2025-01-02T21:28:17
     115       251.2511       123.8338          12.50       313.1679         0.0000          6.597 2025-01-02T21:28:18
     116       287.9852       158.3274          14.91       367.1489         0.0000          4.476 2025-01-02T21:28:18
     117       -27.0663        28.1476           2.33       -12.9925         0.0000          4.730 2025-01-02T21:28:19
     118      -149.8159        62.6072          -6.16      -118.5124         0.0000          4.634 2025-01-02T21:28:19
     119       146.1267       115.8362           9.30       204.0448         0.0000          4.504 2025-01-02T21:28:19
     120        97.3516       103.2251          10.04       148.9642         0.0000          4.400 2025-01-02T21:28:19
     121       -41.4525        19.4111          -3.20       -31.7469         0.0000          4.249 2025-01-02T21:28:19
     122        74.9762        23.5614           6.10        86.7569         0.0000          4.334 2025-01-02T21:28:19
     123       205.7068       239.9308          12.50       325.6721         0.0000          2.745 2025-01-02T21:28:20
     124      -110.9617        23.2573          -1.10       -99.3330         0.0000          4.172 2025-01-02T21:28:20
     125       -92.4118        26.9370           0.20       -78.9433         0.0000          4.102 2025-01-02T21:28:20
     126       -56.1511        45.1243           2.41       -33.5889         0.0000          3.940 2025-01-02T21:28:21
     127       168.2825       287.4688          14.73       312.0169         0.0000          4.234 2025-01-02T21:28:22
     128       152.6514       132.6324          15.28       218.9676         0.0000          4.131 2025-01-02T21:28:22
     129      -187.0772       122.6568          -6.87      -125.7488         0.0000          3.901 2025-01-02T21:28:23
     130       177.4102       230.1317          15.19       292.4761         0.0000          2.682 2025-01-02T21:28:23
     131       102.3567       103.6400           9.50       154.1767         0.0000          3.923 2025-01-02T21:28:23
     132      -166.8761        53.3846          -1.20      -140.1838         0.0000          4.055 2025-01-02T21:28:23
     133       -52.7471        10.4900           0.40       -47.5021         0.0000          4.105 2025-01-02T21:28:23
     134      -101.0173        24.5083           1.80       -88.7631         0.0000          4.163 2025-01-02T21:28:23
     135      -141.4940        57.8293           0.10      -112.5794         0.0000          4.101 2025-01-02T21:28:23
     136      -124.7312        30.3038          -1.10      -109.5793         0.0000          4.161 2025-01-02T21:28:24
     137       126.1685        44.3464          10.86       148.3417         0.0000          3.996 2025-01-02T21:28:24
     138       164.0238       219.6690          15.19       273.8583         0.0000          2.546 2025-01-02T21:28:25
     139       465.0192       351.9688          24.28       641.0035         0.0000          4.220 2025-01-02T21:28:25
     140       127.6831        73.9476           9.50       164.6569         0.0000          4.265 2025-01-02T21:28:26
     141        -3.8920        25.6992           4.00         8.9575         0.0000          4.098 2025-01-02T21:28:27
     142       238.8702       154.9070          18.84       316.3237         0.0000          4.447 2025-01-02T21:28:27
     143      -162.4533        45.0637          -1.50      -139.9214         0.0000          4.139 2025-01-02T21:28:27
     144      -146.6454        36.9587          -0.80      -128.1661         0.0000          4.210 2025-01-02T21:28:27
     145      -128.8843        37.8100          -3.10      -109.9793         0.0000          4.114 2025-01-02T21:28:27
     146        10.2204        40.8185           5.20        30.6296         0.0000          4.756 2025-01-02T21:28:28
     147      -203.9906        65.7480          -3.30      -171.1167         0.0000          4.528 2025-01-02T21:28:28
     148      -298.4255       146.5806          -6.82      -225.1352         0.0000          4.051 2025-01-02T21:28:29
     149      -135.3982        37.3137          -1.10      -116.7414         0.0000          4.287 2025-01-02T21:28:29
     150       228.4897       102.1894          18.83       279.5844         0.0000          3.923 2025-01-02T21:28:29
     151       424.1953       475.8603          29.55       662.1254         0.0000          4.095 2025-01-02T21:28:29
     152       -85.5497       101.2836           7.00       -34.9079         0.0000          3.737 2025-01-02T21:28:30
     153      -253.2088       102.2394          -4.20      -202.0891         0.0000          4.121 2025-01-02T21:28:31
     154      -181.1055       104.7524          -4.70      -128.7293         0.0000          3.894 2025-01-02T21:28:31
     155      -148.3669        41.0762          -0.30      -127.8288         0.0000          4.217 2025-01-02T21:28:31
     156        28.0532        25.2833           5.21        40.6948         0.0000          3.915 2025-01-02T21:28:31
     157      -147.7355        53.2217          -0.39      -121.1247         0.0000          4.134 2025-01-02T21:28:31
     158       -32.5093        33.9864           6.10       -15.5161         0.0000          6.834 2025-01-02T21:28:35
     159      -128.8417        50.6123           4.19      -103.5356         0.0000          7.030 2025-01-02T21:28:35
     160       316.3177       185.0037          20.10       408.8195         0.0000          6.721 2025-01-02T21:28:35
     161      -144.0456        44.6899          -1.10      -121.7006         0.0000          6.907 2025-01-02T21:28:36
     162      -189.0546        66.1208           0.30      -155.9942         0.0000          7.037 2025-01-02T21:28:36
     163       -25.9604        88.5104           9.79        18.2948         0.0000          7.118 2025-01-02T21:28:36
     164      -132.1365        38.4211           1.50      -112.9260         0.0000          7.041 2025-01-02T21:28:37
     165      -142.6562        36.6332           0.60      -124.3396         0.0000          7.237 2025-01-02T21:28:38
     166      -110.9153        24.1123           1.60       -98.8591         0.0000          7.445 2025-01-02T21:28:38
     167      -155.3687        49.0224          -0.10      -130.8575         0.0000          7.380 2025-01-02T21:28:38
     168      -124.7214        26.2279          -1.20      -111.6074         0.0000          7.355 2025-01-02T21:28:38
     169       -95.2488        27.2870           2.80       -81.6053         0.0000          7.376 2025-01-02T21:28:39
     170      -164.9066        44.9729           1.20      -142.4202         0.0000          4.220 2025-01-02T21:28:39
     171      -161.5519        62.8325          -1.50      -130.1357         0.0000          4.302 2025-01-02T21:28:39
     172        38.9213        69.6750           8.90        73.7588         0.0000          4.315 2025-01-02T21:28:40
     173      -132.6779        38.6224          -1.10      -113.3667         0.0000          4.301 2025-01-02T21:28:40
     174       -17.7277        51.1958           4.53         7.8702         0.0000          1.792 2025-01-02T21:28:40
     175      -313.9960       176.3491          -6.05      -225.8214         0.0000          4.220 2025-01-02T21:28:40
     176      -134.9116        41.1326          -1.10      -114.3453         0.0000          4.284 2025-01-02T21:28:41
     177      -256.4683       106.6526          -4.80      -203.1420         0.0000          4.154 2025-01-02T21:28:42
     178      -154.9392        41.6051           0.10      -134.1366         0.0000          4.191 2025-01-02T21:28:42
     179      -160.1138        42.7308          -0.60      -138.7484         0.0000          4.655 2025-01-02T21:28:43
     180      -201.2590        75.2474          -4.36      -163.6353         0.0000          4.316 2025-01-02T21:28:43
     181       -22.5763        98.5222           8.54        26.6848         0.0000          4.359 2025-01-02T21:28:43
