 Episode    Policy Loss     Value Loss   Total Reward     Total Loss Curiosity Loss     Time Delta                Time
      70       171.6568       211.1789          28.54       423.3257        14.6079          4.543 2025-01-03T00:04:49
      71       -35.9375         5.9029          13.93       204.8207        23.7807          6.069 2025-01-03T00:04:49
      72       335.5038       201.8671          33.27       697.5259        26.1089          5.866 2025-01-03T00:04:49
      73      -148.8685        55.3579           9.38        55.8841        17.7074          5.928 2025-01-03T00:04:49
      74       158.2485        70.1024          23.29       449.4069        25.6107          5.971 2025-01-03T00:04:49
      75         0.3886         2.2273          12.31       207.9334        20.6431          5.740 2025-01-03T00:04:49
      77       -81.9801        25.9892          18.89        93.2906        16.2276          5.603 2025-01-03T00:04:49
      76       173.9265       214.5399          28.51       426.9260        14.5730          4.631 2025-01-03T00:04:49
      78       694.3121       827.3438          43.39      1337.0161        22.9032          5.551 2025-01-03T00:04:50
      79       156.9899       206.7150          28.57       406.5477        14.6200          4.215 2025-01-03T00:04:53
      80       133.9354       196.7858          28.65       379.1574        14.6829          4.276 2025-01-03T00:04:54
      81        58.5286        32.8759          12.78       289.0184        21.4052          5.456 2025-01-03T00:04:54
      82       157.7098        45.8061          21.62       417.2594        23.6647          5.590 2025-01-03T00:04:54
      83       701.0817       922.7737          49.84      1426.7694        26.4301          5.565 2025-01-03T00:04:54
      84       -12.2863        40.1613          18.24       230.3296        22.2535          5.607 2025-01-03T00:04:54
      85       302.8583       208.5698          30.17       657.7266        25.0583          5.604 2025-01-03T00:04:54
      86       293.4359       164.1374          29.58       588.6308        21.3126          5.573 2025-01-03T00:04:55
      87       116.0615        51.5379          21.98       375.9371        23.4107          5.574 2025-01-03T00:04:55
      88       125.5385        35.3896          19.30       343.5368        20.0304          5.817 2025-01-03T00:04:55
      89        64.7823        14.0487          20.79       277.2203        20.5414          6.142 2025-01-03T00:04:55
      90       319.8051       224.1552          35.21       693.9608        26.2078          5.950 2025-01-03T00:04:56
      91       124.3025       191.3519          28.56       365.8079        14.5829          4.074 2025-01-03T00:04:57
      92       115.2777       185.5426          28.47       352.9003        14.4851          4.300 2025-01-03T00:04:58
      93      -113.5298        27.0076          12.23       107.5172        20.7543          5.579 2025-01-03T00:04:59
      94       124.3763        69.5615          24.14       410.5555        25.1398          5.583 2025-01-03T00:04:59
      95       169.5249       124.6597          25.57       449.2408        21.7386          5.732 2025-01-03T00:05:00
      96       127.0670       107.3720          26.41       404.0855        22.3333          5.608 2025-01-03T00:05:00
      97         0.6700       116.7004          23.72       264.0182        20.4998          5.436 2025-01-03T00:05:00
      98       107.0321       173.7196          21.00       409.1198        21.5228          5.600 2025-01-03T00:05:00
      99       -61.1870        19.7993          16.25       159.5629        21.0850          5.844 2025-01-03T00:05:00
     101         2.4613        15.6087          18.58       209.8003        19.9535          5.851 2025-01-03T00:05:01
     102      -249.1075       109.0165          11.03        -2.1598        19.2439          5.687 2025-01-03T00:05:02
     103        37.3166       150.2928          27.03       242.7865        13.0323          4.912 2025-01-03T00:05:02
     100       -53.5399        39.8881          19.33       181.9463        21.5542          5.434 2025-01-03T00:05:02
     104        30.4921       148.2276          26.89       233.5218        12.8916          4.975 2025-01-03T00:05:03
     105      -265.0505       117.5770           8.37       -22.3069        18.3955          6.738 2025-01-03T00:05:06
     106       106.2743        58.7434          29.10       353.5279        21.7882          6.714 2025-01-03T00:05:06
     108      -247.4783       107.8626          11.91        10.6670        20.4214          7.472 2025-01-03T00:05:07
     107        39.3977        99.9713          31.30       320.8832        23.1500          7.045 2025-01-03T00:05:07
     109       -22.8836       149.5716          26.09       172.7857        12.0883          5.434 2025-01-03T00:05:07
     110      -427.7734       296.5107           4.34      -132.8860        14.6632          7.014 2025-01-03T00:05:07
     111      -317.1443       172.2780           6.79       -76.8181        15.4187          7.471 2025-01-03T00:05:07
     112       -16.1332        90.6092          23.74       217.0083        18.7837          7.694 2025-01-03T00:05:08
     113       159.0166        96.6290          30.29       416.0294        20.8698          7.033 2025-01-03T00:05:08
     114       -25.4339       150.3144          26.09       170.5992        12.0876          5.715 2025-01-03T00:05:09
     115       -24.4082        84.2194          23.08       228.8517        21.1150          7.543 2025-01-03T00:05:09
     116       223.0849       185.7078          37.50       529.8687        21.3930          9.664 2025-01-03T00:05:10
     117       -33.5392       153.1190          26.25       165.3825        12.2362          5.387 2025-01-03T00:05:13
     118      -313.9353       179.6593          12.81       -51.1326        17.2973          7.073 2025-01-03T00:05:13
     119       109.1799        59.1301          27.72       328.0051        18.9260          7.331 2025-01-03T00:05:13
     120       -33.2837       152.5683          26.50       167.8348        12.4834          5.069 2025-01-03T00:05:14
     121      -353.2731       224.4254          12.65       -70.2269        17.0834          6.793 2025-01-03T00:05:14
     122      -323.4019       183.2285           9.32       -55.3346        17.6453          6.772 2025-01-03T00:05:14
     123      -318.5623       171.4707           9.49       -57.9641        17.4863          7.243 2025-01-03T00:05:14
     124      -390.5280       277.9536           7.87       -99.7836        15.1768          6.968 2025-01-03T00:05:15
     125      -324.4127       181.6872           9.96       -63.9492        16.9620          7.283 2025-01-03T00:05:15
     126      -143.2074       151.0047          24.41       124.1376        19.1843          6.340 2025-01-03T00:05:15
     127      -330.1930       196.1347          12.42       -46.6468        18.5479          6.321 2025-01-03T00:05:16
     128      -398.9886       270.3402           7.81      -104.6245        15.9194          6.207 2025-01-03T00:05:16
