         Reward       Distance
        43.8750         0.2151
        19.3950         0.0952
        19.3950         0.0952
        51.2200         0.2284
        19.6750         0.0955
        19.6750         0.0955
        56.7950         0.2702
        47.3250         0.2208
        19.7200         0.0936
        19.7200         0.0936
       122.0850         0.5653
        19.7200         0.0936
        19.5550         0.0940
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        61.0800         0.2841
        63.4200         0.2841
        74.0950         0.3575
        19.7200         0.0936
       105.1600         0.4451
        19.7200         0.0936
        18.8950         0.0962
        62.5400         0.2841
        45.6800         0.2170
        19.7200         0.0936
        18.4700         0.0968
        60.2750         0.2509
        16.2200         0.0949
        19.7200         0.0936
        14.2550         0.0981
        56.6000         0.2714
        85.1300         0.3565
        48.7450         0.2284
        15.6450         0.0997
        15.6450         0.0997
       121.0650         0.5236
        15.9250         0.1000
        70.9650         0.3565
       124.6750         0.5233
        16.9250         0.0997
        86.4700         0.3635
        17.9550         0.0965
        63.1750         0.2667
        86.4250         0.3591
        52.0600         0.2214
        15.7600         0.0936
        14.6050         0.0974
        19.8300         0.0946
        62.6400         0.2841
        19.7200         0.0936
        46.3000         0.2167
        46.3950         0.2284
        19.7200         0.0936
        16.2500         0.0978
        52.8500         0.2610
        19.7200         0.0936
        45.6700         0.2284
       129.4300         0.5286
        82.2250         0.4470
        19.7200         0.0936
        53.3600         0.2702
        15.2650         0.0974
        19.7200         0.0936
        49.8300         0.2284
        19.7200         0.0936
        41.1300         0.0677
        19.7200         0.0936
        17.3500         0.0962
        95.0150         0.4454
        62.6500         0.2841
        19.7200         0.0936
        42.1000         0.2151
        17.0900         0.0971
        19.7200         0.0936
        67.9100         0.2841
        19.7200         0.0936
        15.3600         0.0955
        54.2900         0.2252
        19.3950         0.0952
       109.9050         0.4783
        15.8450         0.0981
       128.8450         0.5217
        18.6750         0.0959
        15.0050         0.0987
        91.0200         0.3929
        18.0750         0.0981
        14.9100         0.0987
       104.9100         0.4821
        17.4550         0.0971
        83.5750         0.3597
       116.2900         0.5274
        47.7600         0.2192
        19.1150         0.0949
        16.3000         0.0955
       109.0200         0.4793
        19.7200         0.0936
        57.3350         0.2540
        19.7200         0.0936
        49.3150         0.2167
        47.0250         0.2284
        19.7200         0.0936
        19.7200         0.0936
        69.0850         0.2835
        45.1550         0.2177
        90.2200         0.3942
        18.8350         0.0946
       102.0350         0.4457
       135.7350         0.5618
        89.8150         0.3572
        15.1700         0.0974
        48.5400         0.2252
       112.3600         0.4511
        18.5150         0.0971
        49.2050         0.2202
        78.3450         0.3644
        18.0750         0.0981
        18.0750         0.0981
        44.8950         0.2148
        18.2350         0.0968
        50.0300         0.2284
       103.7100         0.4483
        46.5900         0.2164
        46.7500         0.2284
        18.3950         0.0955
        63.7750         0.2635
        18.5150         0.0971
        46.8200         0.2202
       101.6200         0.4480
        17.9550         0.0965
        84.9600         0.3575
        18.0750         0.0981
        58.4250         0.3572
        70.4150         0.2841
        49.7000         0.2227
        66.4000         0.2841
        16.2400         0.0965
        18.0750         0.0981
        77.7400         0.3565
        17.9550         0.0965
        17.5150         0.0974
        18.2350         0.0968
        18.5150         0.0971
        47.3800         0.2189
        18.3950         0.0955
       101.9850         0.4537
        15.9850         0.0940
        18.6750         0.0959
        18.9550         0.0962
       118.3900         0.5293
        17.2050         0.0971
        18.8350         0.0946
        18.8350         0.0946
        60.3750         0.2841
        15.1850         0.0993
        48.9150         0.2252
        15.1850         0.0993
        15.1850         0.0993
        54.5700         0.2657
        15.1850         0.0993
        15.1850         0.0993
        52.1050         0.2243
        15.1850         0.0993
        15.1850         0.0993
        86.7300         0.3926
        16.1550         0.0971
        18.3300         0.0968
        53.5100         0.2648
        18.6750         0.0959
        18.9550         0.0962
       104.1250         0.4533
        18.9550         0.0962
       100.2150         0.4499
        18.8350         0.0946
        58.4250         0.2512
        50.0400         0.2170
        59.8550         0.2841
        19.7200         0.0936
        19.7200         0.0936
        77.1450         0.3568
        45.1200         0.2161
        19.7200         0.0936
        19.7200         0.0936
        43.5500         0.2164
        42.8850         0.2129
        86.9650         0.3562
        19.7200         0.0936
        64.7400         0.2721
        15.0300         0.0987
        19.7200         0.0936
        79.7900         0.3572
        65.4050         0.2692
        18.0200         0.0892
        79.1300         0.3568
        42.8150         0.2164
        15.4050         0.0984
        19.7200         0.0936
        15.6600         0.0943
        15.8050         0.0984
        20.2000         0.0943
        15.1850         0.0993
        15.1850         0.0993
        15.1850         0.0993
        15.1850         0.0993
        82.3050         0.3556
        47.6550         0.2158
        47.8550         0.2284
        15.1850         0.0993
        15.1850         0.0993
        58.1650         0.2632
        56.7050         0.2623
        15.8050         0.0984
        60.0800         0.2686
        18.4050         0.0962
        14.5750         0.0981
        19.2850         0.0943
        19.2850         0.0943
       105.5950         0.4502
        50.6850         0.2202
        19.7200         0.0936
        19.7200         0.0936
        64.6750         0.2727
        55.9850         0.2566
        18.8350         0.0946
        18.9550         0.0962
        56.8050         0.2689
        14.7900         0.0936
        18.6750         0.0959
        18.6750         0.0959
        18.3950         0.0955
        18.5150         0.0971
        88.5950         0.3559
        18.5150         0.0971
        18.5150         0.0971
        98.4500         0.4533
        62.7600         0.2623
        15.0850         0.0990
        15.1850         0.0993
        17.4900         0.0930
        15.1850         0.0993
        15.1850         0.0993
        64.5850         0.2841
        14.9450         0.0981
        16.3850         0.0940
        74.1500         0.3562
       107.9500         0.4473
       147.0800         0.6150
        87.9700         0.3923
        96.3350         0.4438
        85.8750         0.3550
        15.8100         0.0959
       103.4000         0.4454
        72.5800         0.3568
        59.5000         0.2676
        59.3600         0.2689
        63.6400         0.2689
        15.0450         0.0971
        15.2150         0.0943
        48.6550         0.2284
        68.9300         0.2841
        15.9250         0.0927
        51.7300         0.2623
       104.9550         0.4476
       100.2150         0.4454
        56.6750         0.2749
       105.8550         0.4457
        48.4000         0.2189
        17.9800         0.0936
        85.2350         0.3597
        81.4800         0.3594
        15.1650         0.0930
        48.6500         0.2186
       122.9200         0.5214
        13.9650         0.0984
        98.7700         0.4461
       106.4900         0.4464
        45.0650         0.2230
        48.9950         0.2142
        58.8300         0.2607
        15.2050         0.0984
        60.0650         0.2740
        52.2850         0.2284
        67.9750         0.3565
        49.3350         0.2135
       112.2000         0.4783
        18.8750         0.0949
        77.6100         0.3568
        59.7350         0.2673
        76.3950         0.3550
        48.8700         0.2256
        59.0800         0.2724
        14.0800         0.0984
        60.3350         0.2835
        49.2500         0.2233
        62.6750         0.2841
       107.1350         0.4527
        87.8400         0.3597
        58.2050         0.2581
        14.1000         0.0924
        49.1100         0.2284
        15.3600         0.0990
        45.4100         0.2180
        15.0850         0.0990
        47.4700         0.2158
        16.0750         0.0981
        15.8700         0.0990
        17.4700         0.0993
        44.4100         0.2164
        15.5500         0.0981
        47.7250         0.2142
        78.4550         0.3565
        16.2250         0.0968
        17.6250         0.0984
        16.6050         0.0968
        47.6750         0.2218
        51.1850         0.2208
        76.3750         0.3562
        59.6200         0.2645
        53.2600         0.2224
        18.4850         0.0927
        44.2450         0.2158
        56.9300         0.2752
        49.7250         0.2284
