 Episode    Policy Loss     Value Loss   Total Reward     Total Loss Curiosity Loss     Time Delta                Time
      70         8.1043         0.1254          16.76       251.2144        24.3047         24.183 2024-12-29T16:21:17
      71        -0.1617         0.4884          17.88       254.2925        25.4210         24.245 2024-12-29T16:21:18
      72       -18.5210         0.6758          13.90       196.2724        21.4456         23.978 2024-12-29T16:21:18
      73      -170.7160        46.0617           9.07        18.3882        16.6073         23.966 2024-12-29T16:21:18
      74       128.2084        24.8507          20.96       425.5984        28.4965         24.711 2024-12-29T16:21:19
      75         2.7575         2.2818          17.10       250.2756        24.6377         23.848 2024-12-29T16:21:21
      76        43.9361         4.1267          18.49       306.3215        26.0322         22.343 2024-12-29T16:21:22
      77       -42.5007        13.3710          11.31       137.6360        17.3451         17.848 2024-12-29T16:21:24
      78       -37.7140        12.4065          11.15       140.3248        17.1836         18.014 2024-12-29T16:21:25
      79      -210.4258        70.3072           4.66       -53.2420        12.2030         21.677 2024-12-29T16:21:26
      80      -194.7158        60.2624           4.25       -46.7113        11.7873         22.626 2024-12-29T16:21:31
      81        74.1743         8.5467          15.41       307.9793        22.9532         22.352 2024-12-29T16:21:39
      82       -11.6122         0.5362          14.22       206.2437        21.7588         22.648 2024-12-29T16:21:40
      83        31.6000         1.4956          12.48       232.5708        20.0223         22.444 2024-12-29T16:21:40
      84      -106.2520        18.3224           7.98        58.1369        15.5228         22.036 2024-12-29T16:21:40
      85        50.9105         4.4024          16.70       295.5256        24.2414         22.776 2024-12-29T16:21:40
      86       163.7956        40.4428          19.08       450.2223        26.6205         22.152 2024-12-29T16:21:41
      87         3.1045         0.0503          13.74       215.9209        21.2791         21.296 2024-12-29T16:21:42
      88        -0.8039         8.8140          10.21       166.0231        16.2420         17.984 2024-12-29T16:21:42
      89         1.7282         8.6559          10.08       167.2277        16.1172         17.839 2024-12-29T16:21:43
      90        62.7240         5.8615          15.75       298.6321        23.2977         21.607 2024-12-29T16:21:44
      91      -133.2598        27.7022           3.80        -5.9747        11.3434         22.674 2024-12-29T16:21:49
      92      -128.8231        26.6848           3.56        -4.4701        11.1011         24.076 2024-12-29T16:21:55
      93       -11.1932         0.4527          11.69       181.3680        19.2335         21.481 2024-12-29T16:22:01
      94        84.9567        10.7060          13.46       300.2844        20.9975         21.885 2024-12-29T16:22:01
      95        61.1583         5.3964          11.03       249.5850        18.5729         21.542 2024-12-29T16:22:02
      96        58.9469         6.0227          12.52       262.5790        20.0621         21.613 2024-12-29T16:22:02
      97       157.8143        37.9427          16.98       421.9438        24.5158         21.584 2024-12-29T16:22:03
      98       118.5854        21.1293          15.39       358.4059        22.9256         22.362 2024-12-29T16:22:03
      99         8.9858         0.1919          11.86       203.0678        19.3986         21.353 2024-12-29T16:22:03
     101       -90.8301        13.9808           3.41        25.7411        10.9581         23.097 2024-12-29T16:22:06
     102        77.7277         8.6133          14.04       297.8286        21.5794         23.571 2024-12-29T16:22:07
     103       -86.8875        12.2158           3.32        27.8211        10.8601         23.684 2024-12-29T16:22:12
     100       -93.9050        14.9313           3.45        23.4607        10.9900         22.465 2024-12-29T16:22:16
     104       -83.1605        11.0302           3.26        30.3877        10.8033         21.929 2024-12-29T16:22:17
     105        72.5824         7.9411          11.16       263.5394        18.6986         22.997 2024-12-29T16:22:24
     106        54.0369         7.7263          12.38       257.0534        19.9153         23.431 2024-12-29T16:22:25
     107        44.6499         2.9781          10.13       222.8292        17.6690         23.735 2024-12-29T16:22:25
     108        53.7017         4.5741          11.47       246.1154        19.0127         23.695 2024-12-29T16:22:26
     109        79.2751         9.5730          11.77       277.1858        19.3124         23.404 2024-12-29T16:22:26
     110       126.1364        24.4349          14.58       359.6063        22.1252         23.961 2024-12-29T16:22:27
     111        12.9112         0.2635          10.58       194.2185        18.1176         25.268 2024-12-29T16:22:29
     112       -61.9153         6.5694           3.04        47.1939        10.5825         23.460 2024-12-29T16:22:30
     113       115.6654        19.6294          14.04       341.2800        21.5800         22.859 2024-12-29T16:22:30
     114         2.9986         4.0644           5.61       136.4866        13.1456         22.155 2024-12-29T16:22:34
     115       -59.1346         6.0085           2.93        48.6282        10.4758         33.014 2024-12-29T16:22:38
     116        -8.0914         2.9109           4.88       117.5458        12.4182         22.867 2024-12-29T16:22:40
     117        42.6025         2.6529           9.31       212.4435        16.8515         23.132 2024-12-29T16:22:47
     118       118.8047        21.7696          13.94       344.5354        21.4846         23.094 2024-12-29T16:22:48
     119       122.5796        23.0320          13.35       343.0020        20.8906         22.030 2024-12-29T16:22:48
     120        40.9723         2.7072          10.23       220.0648        17.7739         22.733 2024-12-29T16:22:48
     121        32.5031         1.6974           8.88       197.5908        16.4239         22.997 2024-12-29T16:22:49
     122        82.9132        10.3741          12.33       286.7829        19.8683         22.352 2024-12-29T16:22:49
     123       -13.8029         0.3962           8.94       151.1673        16.4772         21.626 2024-12-29T16:22:50
     124       -55.5855         5.3559           2.38        46.4821         9.9390         21.501 2024-12-29T16:22:51
     125        52.2034         4.6386          10.55       235.4460        18.0923         21.566 2024-12-29T16:22:52
     126        61.1428         5.8090          10.34       242.8475        17.8800         22.348 2024-12-29T16:22:57
     127       -54.6967         5.2183           2.23        45.8404         9.7928         24.910 2024-12-29T16:23:03
     128        39.0173         2.2447           7.95       195.0501        15.4910         24.142 2024-12-29T16:23:04
     129        19.8065         0.6427           9.25       188.0157        16.7888         21.191 2024-12-29T16:23:10
     130        65.6109         6.7035          10.73       251.6170        18.2654         22.013 2024-12-29T16:23:10
     131       109.5695        18.4639          12.87       322.9163        20.4115         21.652 2024-12-29T16:23:10
     132        12.6156         0.2096           8.12       169.3363        15.6616         22.381 2024-12-29T16:23:10
     133         0.2352         2.6101           5.32        95.4446         9.3904         13.028 2024-12-29T16:23:10
     134        36.4248         1.8958          10.74       220.1331        18.2760         21.719 2024-12-29T16:23:11
     135        46.2116         3.5915           9.46       217.9638        16.9956         22.182 2024-12-29T16:23:11
     136       -34.1602         2.0481           8.11       123.3717        15.6508         22.118 2024-12-29T16:23:12
     137       -54.8385         5.3204           1.86        42.0979         9.4276         22.119 2024-12-29T16:23:13
     138         0.8644         0.0574           8.17       157.9687        15.7076         21.627 2024-12-29T16:23:13
     139       -54.7485         5.2874           1.80        41.5245         9.3629         21.905 2024-12-29T16:23:24
     140        25.6330         0.9853           7.46       176.1033        14.9978         21.241 2024-12-29T16:23:25
     141        -5.3630         0.2112           8.47       154.8579        16.0115         21.580 2024-12-29T16:23:31
     142        17.8060         0.5152           9.37       187.1688        16.9105         22.379 2024-12-29T16:23:32
     143       -52.9566         4.5855           1.93        44.0540         9.4718         22.477 2024-12-29T16:23:32
     144        14.3092         0.4985           8.97       179.6638        16.5105         22.796 2024-12-29T16:23:32
     145       -17.2435         0.5634           7.60       134.4691        15.1431         22.968 2024-12-29T16:23:33
     146        64.3421         6.2089          11.03       253.2033        18.5757         22.819 2024-12-29T16:23:34
     147        36.1728         2.2472          10.63       219.0021        18.1706         23.382 2024-12-29T16:23:34
     148        44.4861         4.6751          11.25       234.6640        18.7840         24.171 2024-12-29T16:23:36
     149        -5.1507         0.2989           8.81       158.5457        16.3547         24.634 2024-12-29T16:23:38
     150       -53.7210         5.0627           1.77        42.0867         9.3276         24.858 2024-12-29T16:23:38
     151       -53.4777         5.0239           1.78        42.3557         9.3321         21.758 2024-12-29T16:23:46
     152         8.0312         0.0822           7.04       153.8305        14.5758         21.860 2024-12-29T16:23:47
     153       -11.7816         0.9449           8.63       150.3886        16.1698         24.277 2024-12-29T16:23:55
     155       -52.1821         4.4900           1.84        43.8929         9.3830         24.014 2024-12-29T16:23:56
     154        -6.5357         0.1143           8.96       158.5700        16.5048         24.162 2024-12-29T16:23:56
     156       -39.2825         2.5426           7.42       111.6219        14.9633         23.624 2024-12-29T16:23:56
     157       -25.7484         1.1846           7.74       127.6284        15.2784         24.149 2024-12-29T16:23:57
     158       -31.2979         1.7279           8.34       128.4196        15.8854         23.072 2024-12-29T16:23:57
     159        39.5546         2.2560          10.40       220.0733        17.9391         23.676 2024-12-29T16:23:57
     160        30.4149         1.4571          12.43       230.8186        19.9675         21.754 2024-12-29T16:23:58
     161       -47.7639         3.7487           7.90       108.5158        15.4405         21.446 2024-12-29T16:24:00
     162       -56.6296         5.6685           1.67        38.3932         9.2189         22.040 2024-12-29T16:24:00
     163       -56.9717         5.7258           1.64        37.8088         9.1918         25.759 2024-12-29T16:24:12
     164       -25.2337         2.8071           6.65       118.0994        14.1930         27.454 2024-12-29T16:24:14
