 Episode    Policy Loss     Value Loss   Total Reward     Total Loss Curiosity Loss     Time Delta                Time
      71       -11.2152         0.3456           0.00       -11.0424         0.0000         20.882 2024-12-29T16:25:16
      72       -15.7642         0.4712           0.00       -15.5286         0.0000         21.343 2024-12-29T16:25:16
      73       -14.4839         0.4079           0.00       -14.2800         0.0000         20.855 2024-12-29T16:25:21
      74        -4.9033         0.0789           0.00        -4.8639         0.0000         19.794 2024-12-29T16:25:25
      75        -8.0574         0.1511           0.00        -7.9818         0.0000         19.679 2024-12-29T16:25:30
      76        -0.0796         0.0110           0.00        -0.0741         0.0000         19.985 2024-12-29T16:25:31
      77        15.7780         0.5701           0.00        16.0631         0.0000         20.191 2024-12-29T16:25:32
      78         6.2939         0.0619           0.00         6.3249         0.0000         20.915 2024-12-29T16:25:32
      79        15.6157         0.5964           0.00        15.9139         0.0000         20.128 2024-12-29T16:25:33
      80        17.8890         0.4836           0.00        18.1308         0.0000         20.410 2024-12-29T16:25:33
      81        18.9782         0.5145           0.00        19.2355         0.0000         20.025 2024-12-29T16:25:34
      82        22.2327         0.7026           0.00        22.5841         0.0000         18.340 2024-12-29T16:25:35
      83        16.9693         0.5171           0.00        17.2278         0.0000         20.316 2024-12-29T16:25:35
      84         2.8108         0.0949           0.00         2.8583         0.0000          3.823 2024-12-29T16:25:35
      85        36.7016         2.0778           0.00        37.7405         0.0000         19.358 2024-12-29T16:25:36
      86        28.6531         1.2101           0.00        29.2582         0.0000         18.474 2024-12-29T16:25:40
      87        27.4132         1.0903           0.00        27.9584         0.0000         18.167 2024-12-29T16:25:44
      88        38.3717         2.1515           0.00        39.4474         0.0000         17.986 2024-12-29T16:25:48
      89        29.4772         1.2359           0.00        30.0951         0.0000         19.529 2024-12-29T16:25:51
      90        46.2518         3.1630           0.00        47.8333         0.0000         18.357 2024-12-29T16:25:51
      91        62.5247         5.8869           0.00        65.4681         0.0000         18.760 2024-12-29T16:25:52
      92        52.6031         4.0927           0.00        54.6495         0.0000         19.553 2024-12-29T16:25:52
      93        56.9903         5.3893           0.00        59.6850         0.0000         19.035 2024-12-29T16:25:53
      94        70.1634         7.3547           0.00        73.8407         0.0000         17.411 2024-12-29T16:25:53
      95        53.2168         4.2356           0.00        55.3346         0.0000         18.533 2024-12-29T16:25:53
      96        53.9505         4.3574           0.00        56.1292         0.0000         18.836 2024-12-29T16:25:54
      97        47.7936         3.3510           0.00        49.4691         0.0000         19.408 2024-12-29T16:25:55
      98        71.7533         7.6359           0.00        75.5713         0.0000         17.704 2024-12-29T16:25:57
      99        58.8424         5.0846           0.00        61.3847         0.0000         18.155 2024-12-29T16:26:02
     101        51.2227         4.0396           0.00        53.2425         0.0000         18.851 2024-12-29T16:26:10
     102        77.0666         8.9352           0.00        81.5342         0.0000         19.102 2024-12-29T16:26:10
     103        67.6564         7.4609           0.00        71.3869         0.0000         18.708 2024-12-29T16:26:11
     104        60.8138         5.5660           0.00        63.5968         0.0000         18.744 2024-12-29T16:26:11
     105        63.6207         6.0694           0.00        66.6554         0.0000         18.248 2024-12-29T16:26:12
     106        79.3110         9.6147           0.00        84.1183         0.0000         19.574 2024-12-29T16:26:12
     107        83.2726        10.4548           0.00        88.5000         0.0000         18.859 2024-12-29T16:26:12
     108        60.5577         5.5801           0.00        63.3478         0.0000         18.480 2024-12-29T16:26:12
     109        46.7861         3.2269           0.00        48.3996         0.0000         18.465 2024-12-29T16:26:14
     110        72.3400         7.9558           0.00        76.3179         0.0000         18.244 2024-12-29T16:26:16
     100        78.5355         9.3970           0.00        83.2340         0.0000         18.718 2024-12-29T16:26:19
     111        49.8116         3.7672           0.00        51.6952         0.0000         18.385 2024-12-29T16:26:20
     112        64.0484         6.1584           0.00        67.1276         0.0000         19.012 2024-12-29T16:26:29
     113        62.1727         5.7718           0.00        65.0586         0.0000         18.834 2024-12-29T16:26:29
     114        35.8875         1.8714           0.00        36.8232         0.0000         18.845 2024-12-29T16:26:29
     115        27.2228         1.0836           0.00        27.7646         0.0000         17.903 2024-12-29T16:26:30
     116        41.4066         2.5672           0.00        42.6902         0.0000         18.560 2024-12-29T16:26:30
     117        59.5746         5.2972           0.00        62.2232         0.0000         18.440 2024-12-29T16:26:30
     118        50.3166         3.7536           0.00        52.1934         0.0000         18.340 2024-12-29T16:26:30
     119        33.1454         1.6353           0.00        33.9631         0.0000         18.691 2024-12-29T16:26:30
     120        14.9822         0.3002           0.00        15.1323         0.0000         17.693 2024-12-29T16:26:31
     121        28.3165         1.3756           0.00        29.0044         0.0000         18.414 2024-12-29T16:26:34
     122        40.1307         2.4554           0.00        41.3584         0.0000         30.325 2024-12-29T16:26:37
     123         8.5257         0.1268           0.00         8.5891         0.0000         17.747 2024-12-29T16:26:38
     124        33.3906         1.6251           0.00        34.2031         0.0000         18.296 2024-12-29T16:26:47
     125        -5.6495         0.1290           0.00        -5.5850         0.0000         13.185 2024-12-29T16:26:47
     126         5.7114         0.0759           0.00         5.7494         0.0000         18.141 2024-12-29T16:26:48
     127         6.7979         0.0735           0.00         6.8346         0.0000         18.069 2024-12-29T16:26:48
     128        24.8302         0.8906           0.00        25.2755         0.0000         18.820 2024-12-29T16:26:48
     129        -5.0363         0.0767           0.00        -4.9979         0.0000         18.242 2024-12-29T16:26:48
     130        16.6497         0.3631           0.00        16.8312         0.0000         18.131 2024-12-29T16:26:48
     131         0.5907         0.0726           0.00         0.6270         0.0000         18.518 2024-12-29T16:26:49
     132         7.4201         0.0816           0.00         7.4610         0.0000         18.681 2024-12-29T16:26:49
     133       -15.5131         0.6364           0.00       -15.1949         0.0000         18.730 2024-12-29T16:26:50
     134        -3.2807         0.0438           0.00        -3.2588         0.0000         18.413 2024-12-29T16:26:56
     135       -30.9925         1.6279           0.00       -30.1786         0.0000         17.971 2024-12-29T16:26:56
     136       -13.5729         0.4148           0.00       -13.3655         0.0000         18.048 2024-12-29T16:27:05
     137       -11.9063         0.2871           0.00       -11.7628         0.0000         18.063 2024-12-29T16:27:05
     138       -25.6971         1.2044           0.00       -25.0949         0.0000         17.810 2024-12-29T16:27:06
     139       -27.8404         1.3836           0.00       -27.1486         0.0000         18.345 2024-12-29T16:27:06
     140       -27.0463         1.2892           0.00       -26.4017         0.0000         18.155 2024-12-29T16:27:06
     141       -45.4023         3.4664           0.00       -43.6691         0.0000         18.075 2024-12-29T16:27:06
     142       -24.7116         1.0189           0.00       -24.2022         0.0000         18.775 2024-12-29T16:27:07
     144       -28.9094         1.4942           0.00       -28.1622         0.0000         18.242 2024-12-29T16:27:07
     143       -31.7599         1.6964           0.00       -30.9117         0.0000         18.315 2024-12-29T16:27:07
     145       -34.3991         1.9855           0.00       -33.4063         0.0000         18.499 2024-12-29T16:27:08
     146       -37.0118         2.3329           0.00       -35.8453         0.0000         17.543 2024-12-29T16:27:13
     147       -57.3204         5.5615           0.00       -54.5397         0.0000         18.059 2024-12-29T16:27:14
     148       -41.9357         2.9527           0.00       -40.4594         0.0000         18.124 2024-12-29T16:27:23
     149       -40.0992         2.6817           0.00       -38.7583         0.0000         18.527 2024-12-29T16:27:24
     150       -43.6700         3.1753           0.00       -42.0823         0.0000         18.367 2024-12-29T16:27:24
     151       -66.4300         7.2508           0.00       -62.8046         0.0000         18.527 2024-12-29T16:27:25
     152       -58.4903         5.5625           0.00       -55.7091         0.0000         18.903 2024-12-29T16:27:25
     153       -50.5126         4.1682           0.00       -48.4285         0.0000         18.658 2024-12-29T16:27:25
     154       -56.0764         5.1364           0.00       -53.5082         0.0000         18.280 2024-12-29T16:27:25
     155       -47.7671         3.7946           0.00       -45.8698         0.0000         18.469 2024-12-29T16:27:25
     156       -49.1678         3.9564           0.00       -47.1895         0.0000         18.721 2024-12-29T16:27:26
     157       -54.5472         4.7819           0.00       -52.1562         0.0000         18.356 2024-12-29T16:27:27
     158       -57.6853         5.4851           0.00       -54.9428         0.0000         17.705 2024-12-29T16:27:31
     159       -63.3893         6.5187           0.00       -60.1299         0.0000         18.091 2024-12-29T16:27:32
     160       -62.3459         6.2421           0.00       -59.2249         0.0000         18.341 2024-12-29T16:27:42
     161       -57.7846         5.3306           0.00       -55.1193         0.0000         17.860 2024-12-29T16:27:42
     162       -52.7932         4.4977           0.00       -50.5444         0.0000         18.383 2024-12-29T16:27:43
     163       -61.2537         6.0049           0.00       -58.2513         0.0000         17.918 2024-12-29T16:27:43
     164       -76.7270         9.5677           0.00       -71.9431         0.0000         18.096 2024-12-29T16:27:43
     165       -59.9968         5.8364           0.00       -57.0786         0.0000         18.292 2024-12-29T16:27:43
     166       -59.0457         5.6526           0.00       -56.2194         0.0000         17.931 2024-12-29T16:27:43
     167       -55.7718         5.0148           0.00       -53.2644         0.0000         18.335 2024-12-29T16:27:44
     168       -52.7581         4.5745           0.00       -50.4708         0.0000         18.104 2024-12-29T16:27:44
     169       -54.5628         4.9578           0.00       -52.0840         0.0000         18.259 2024-12-29T16:27:45
     170       -64.5924         6.8092           0.00       -61.1878         0.0000         18.701 2024-12-29T16:27:49
     171       -66.5370         7.0943           0.00       -62.9898         0.0000         18.942 2024-12-29T16:27:51
     172       -52.9988         5.1299           0.00       -50.4339         0.0000         18.759 2024-12-29T16:28:00
     173       -59.3475         5.7051           0.00       -56.4950         0.0000         17.776 2024-12-29T16:28:01
     174       -62.4570         6.3803           0.00       -59.2669         0.0000         18.824 2024-12-29T16:28:01
     175       -56.0988         5.1336           0.00       -53.5320         0.0000         17.900 2024-12-29T16:28:01
     176       -50.3606         4.1685           0.00       -48.2764         0.0000         18.474 2024-12-29T16:28:01
     177       -74.1990         8.9862           0.00       -69.7058         0.0000         18.520 2024-12-29T16:28:01
     178       -53.0572         4.7018           0.00       -50.7063         0.0000         18.424 2024-12-29T16:28:02
     179       -45.3272         3.4102           0.00       -43.6221         0.0000         17.962 2024-12-29T16:28:02
     180       -49.8571         4.0364           0.00       -47.8389         0.0000         18.600 2024-12-29T16:28:02
     181       -46.6671         3.5710           0.00       -44.8816         0.0000         18.537 2024-12-29T16:28:04
     182       -58.5025         5.6124           0.00       -55.6963         0.0000         18.401 2024-12-29T16:28:08
     183       -57.8180         5.4252           0.00       -55.1054         0.0000         19.106 2024-12-29T16:28:10
     184       -58.8566         5.7606           0.00       -55.9763         0.0000         16.724 2024-12-29T16:28:17
     185       -48.4005         3.8685           0.00       -46.4662         0.0000         18.216 2024-12-29T16:28:19
     186       -48.7482         3.8874           0.00       -46.8045         0.0000         18.652 2024-12-29T16:28:19
     187       -39.0088         2.4951           0.00       -37.7613         0.0000         18.172 2024-12-29T16:28:19
     188       -44.4307         3.2858           0.00       -42.7878         0.0000         18.525 2024-12-29T16:28:19
     189       -61.0931         6.1870           0.00       -57.9996         0.0000         18.349 2024-12-29T16:28:20
     190       -40.1881         2.6861           0.00       -38.8450         0.0000         18.413 2024-12-29T16:28:20
     191       -31.9558         1.7413           0.00       -31.0852         0.0000         18.390 2024-12-29T16:28:20
     192       -34.0993         1.9099           0.00       -33.1444         0.0000         18.294 2024-12-29T16:28:21
     193       -40.1139         2.7252           0.00       -38.7513         0.0000         18.942 2024-12-29T16:28:23
     194       -44.9567         3.3855           0.00       -43.2639         0.0000         18.246 2024-12-29T16:28:26
     195       -43.0046         3.0519           0.00       -41.4787         0.0000         18.947 2024-12-29T16:28:29
     196       -40.9907         2.7859           0.00       -39.5977         0.0000         18.275 2024-12-29T16:28:36
     197       -30.4174         1.6130           0.00       -29.6109         0.0000         18.472 2024-12-29T16:28:37
     198       -22.6417         1.0160           0.00       -22.1337         0.0000         18.050 2024-12-29T16:28:37
     199       -38.2574         2.4495           0.00       -37.0326         0.0000         18.963 2024-12-29T16:28:38
     201       -19.7002         0.7294           0.00       -19.3355         0.0000         17.965 2024-12-29T16:28:38
     202       -43.9863         3.2723           0.00       -42.3502         0.0000         18.740 2024-12-29T16:28:38
     203       -21.9897         0.8555           0.00       -21.5619         0.0000         19.069 2024-12-29T16:28:39
     204       -35.0050         2.2808           0.00       -33.8646         0.0000         19.160 2024-12-29T16:28:40
     205       -23.3475         1.0420           0.00       -22.8265         0.0000         19.206 2024-12-29T16:28:42
     206       -24.4765         1.2355           0.00       -23.8588         0.0000         15.679 2024-12-29T16:28:42
     207       -24.4380         1.0353           0.00       -23.9204         0.0000         17.850 2024-12-29T16:28:47
